nombre,img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Senecio philippii Sch. Bip. ex Wedd.,-,Asteraceae,"Senecio ammophilus Phil., Senecio hirthi Phil.",Subarbusto,Nativa,"Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",500-1000 m.,Argentina,-,-
Senecio phylicifolius Poepp. ex DC.,-,Asteraceae,Cineraria phylicifolia Poepp. ex DC.,Subarbusto,Endémica,"Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",200-2000 m.,-,-,-
Senecio phylloleptus Cuatrec.,-,Asteraceae,"",Arbusto,Nativa,Arica y Parinacota (AYP),3500 m.,Bolivia y Perú,Flor amarilla,-
Senecio pilquensis H. Buek,-,Asteraceae,"Senecio heterophyllus DC., hom. illeg., Senecio phyllomorphus Steud., Senecio porophylloides J. Remy",Subarbusto,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI)",900-1700 m.,Argentina,-,-
Senecio pissisi Phil.,-,Asteraceae,"",Subarbusto,Nativa,"Atacama (ATA), Coquimbo (COQ)",3000-4100 m.,Argentina,-,-
Senecio planiflorus Kunze ex Cabrera,http://catalogoplantas.udec.cl/sites/default/files/2446_1.jpg,Asteraceae,"Senecio littoralis Poepp. ex DC., nom. illeg., Senecio sinuatilobus DC. var. littoralis DC.",Arbusto,Endémica,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU)",0-700 m.,-,-,-
Senecio poeppigii Hook. & Arn.,-,Asteraceae,"Senecio dealbatus Phil., Senecio micropifolius DC. var. ß. monocephalus DC., Senecio williamsii Phil.",Subarbusto,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Magallanes (MAG)",1300-2000 m.,Argentina,-,-
Senecio polygaloides Phil.,http://catalogoplantas.udec.cl/sites/default/files/2448_1.jpg,Asteraceae,"Senecio linariifolius Poepp. ex DC. var. tenuifolius DC., Senecio multibracteatus Phil., hom. illeg., Senecio linariifolius Poepp. ex DC. var. discoideus Kuntze",Subarbusto,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Aysén (AIS)",2000-3100 m.,Argentina,-,-
Senecio polyphyllus Kunze ex DC.,-,Asteraceae,Senecio tristis Phil. var. comberi Greenm.,Subarbusto,Nativa,"O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",1700-2600 m.,Argentina y Perú,-,-
Senecio portalesianus J. Remy var. lanuginosus (Phil.) Cabrera,-,Asteraceae,Senecio antucensis Phil. var. lanuginosa Phil.,Subarbusto,Endémica,"Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",1400-2500 m.,-,-,-
Senecio portalesianus J. Remy var. portalesianus,-,Asteraceae,"Senecio antucensis Phil., Senecio polyphyllus Kunze ex DC. var. antucensis (Phil.) Reiche, Senecio ceratophyllus D. Don ex Hook. & Arn. var. ß nana D. Don ex Hook. & Arn.",Subarbusto,Nativa,"Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",1500-2800 m.,Argentina,-,-
Senecio portulacoides J. Remy,http://catalogoplantas.udec.cl/sites/default/files/2452_1.jpg,Asteraceae,Senecio macer Phil.,Arbusto,Endémica,Coquimbo (COQ),1200-2800 m.,-,-,-
Senecio prenanthifolius Phil.,-,Asteraceae,"Senecio ranconensis Sch. Bip. ex Phil., nom. nud., Senecio helianthoides Phil., Senecio ranconensis Sch. Bip. ex Lechl., nom. nud.",Hierba perenne,Nativa,"O'Higgins (LBO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",1000-1500 m.,Argentina,-,-
Senecio proteus J. Remy var. geissei (Phil.) Cabrera,-,Asteraceae,Senecio geissei Phil.,Arbusto,Endémica,"Atacama (ATA), Coquimbo (COQ)",1200-1800 m.,-,-,-
Senecio proteus J. Remy var. proteus,http://catalogoplantas.udec.cl/sites/default/files/2455_1.jpg,Asteraceae,"Senecio bracteolatus Phil., Senecio foliolosus Reiche, Senecio pinnatifidus Phil., Senecio stenophyllus Phil.",Arbusto,Endémica,"Atacama (ATA), Coquimbo (COQ)",800-3000 m.,-,"Pajarito, palito blanco",-
Senecio pseudalmeidae Cabrera,-,Asteraceae,"",Arbusto,Endémica,Antofagasta (ANT),300 m.,-,-,-
Senecio pseuderucoides Cabrera,-,Asteraceae,"",Arbusto,Endémica,Metropolitana (RME),1900 m.,-,-,-
Senecio pubescens Phil.,-,Asteraceae,"",Arbusto o subarbusto,Endémica,Coquimbo (COQ),1500-1600 m.,-,-,-
Senecio puchei Phil.,-,Asteraceae,Subarbusto,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT)",4200-4800 m.,Argentina y Bolivia,"Chachakoma, leña de tola, tola de piedra",-,""
Senecio pycnanthus Phil.,-,Asteraceae,Senecio pycnanthus Phil. var. brevifolia Phil.,Subarbusto,Endémica,"Maule (MAU), Ñuble (NUB)",0-1200 m.,-,-,-
"Senecio pygmophyllus (S.F. Blake) J. Calvo, A. Granda & V.A. Funk",-,Asteraceae,"Senecio laucanus Ricardi & Martic., Werneria pygmophylla S.F. Blake",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR)",4100-4700 m.,Perú,-,-
Senecio rahmeri Phil.,-,Asteraceae,"",Subarbusto,Nativa,"Antofagasta (ANT), Atacama (ATA)",4100-4300 m.,Argentina,-,-
