nombre,img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Nothofagus macrocarpa (A. DC.) F.M. Vázquez & R.A. Rodr.,http://catalogoplantas.udec.cl/sites/default/files/4404_1.jpg,Nothofagaceae,"Nothofagus obliqua (Mirb.) Oerst. var. macrocarpa (A. DC.) Reiche, Fagus obliqua Mirb. var. macrocarpa A.DC., Lophozonia macrocarpa (A. DC.) Heenan & Smissen",Árbol,Endémica,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO)",800-2200 m.,-,"Roble, roble blanco, roble de Santiago",-
Nothofagus nitida (Phil.) Krasser,http://catalogoplantas.udec.cl/sites/default/files/4405_1.jpg,Nothofagaceae,Fagus nitida Phil.,Árbol,Nativa,"Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-900 m.,Argentina,"Coigüe de Chiloé, roble de Chiloé",-
Nothofagus obliqua (Mirb.) Oerst.,http://catalogoplantas.udec.cl/sites/default/files/4406_1.jpg,Nothofagaceae,"Fagus obliqua Mirb., Lophozonia heterocarpa Turcz., Fagus obliqua Mirb. var. macranthera A. DC., Fagus obliqua Mirb. var. dentatosquamata Kuntze, Nothofagus leoni Espinosa, Fagus obliqua (Mirb.) Oerst. var. valdiviana (Phil.) A. DC., Fagus valdiviana Phil., Fagus obliqua Mirb. var. integrisquamata Kuntze, Nothofagus obliqua (Mirb.) Oerst. subsp. valdiviana (Phil.) F.M. Vázquez & R.A. Rodr., Nothofagus obliqua (Mirb.) Oerst. subsp. andina F.M. Vázquez & R.A. Rodr., Lophozonia obliqua (Mirb.) Heenan & Smissen, Lophozonia obliqua (Mirb.) Heenan & Smissen subsp. andina (F.M. Vázquez & R. Rodr.) Heenan & Smissen, Lophozonia obliqua (Mirb.) Heenan & Smissen subsp. valdiviana (Phil.) Heenan & Smissen",Árbol,Nativa,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",0-2500 m.,Argentina,"Hualle, roble, coyán, roble-pellín",-
Nothofagus pumilio (Poepp. & Endl.) Krasser,http://catalogoplantas.udec.cl/sites/default/files/4407_1.jpg,Nothofagaceae,"Fagus antarctica G. Forst. var. bicrenata A. DC., Fagus pumilio Poepp. & Endl., Calusparassus pumilio Hombr. & Jacq., Fagus antarctica G. Forst. var. pumilio (Poepp. & Endl.) Kuntze",Árbol,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-2000 m.,Argentina,Lenga,-
Nothofagus x leonii Espinosa,-,Nothofagaceae,"",Árbol,Endémica,"Maule (MAU), Ñuble (NUB)",100-600 m.,-,Huala,"Híbrido natural entre Nothofagus obliqua y Nothofagus glauca (Donoso 1971, 2006)"
Allionia incarnata L.,http://catalogoplantas.udec.cl/sites/default/files/4409_1.jpg,Nyctaginaceae,"Allionia puberula Phil., Wedeliela incarnata (L.) Cockerell, Wedelia incarnata (L.) Kuntze, Allionia bandurriae Phil., Allionia jarae Phil.",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA)",0-3000 m.,"Argentina, Bolivia y Perú",-,-
Boerhavia diffusa L.,-,Nyctaginaceae,"",Hierba perenne,Introducida,"Arica y Parinacota (AYP), Tarapacá (TAR), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Biobío (BIO), Rapa Nui (IPA)",-,-,-,-
Mirabilis acuta (Reiche) Heimerl,http://catalogoplantas.udec.cl/sites/default/files/4411_1.jpg,Nyctaginaceae,Oxybaphus ovatus (Ruiz & Pav.) Vahl var. acutus Reiche,Hierba perenne,Endémica,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",500-2900 m.,-,Tapahua,-
Mirabilis cordifolia (Kunze ex Choisy) Heimerl,http://catalogoplantas.udec.cl/sites/default/files/4412_1.jpg,Nyctaginaceae,"Oxybaphus cordifolius Kunze ex Choisy, Allione cordifolia (Kunze ex Choisy) Kuntze",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU)",0-900 m.,Perú,-,-
Mirabilis elegans (Choisy) Heimerl,http://catalogoplantas.udec.cl/sites/default/files/4413_1.jpg,Nyctaginaceae,"Oxybaphus elegans Choisy, Allionia elegans (Choisy) Kuntze, Oxybaphus dichotumus Phil., Oxybaphus san-romani Phil., Mirabilis elegans (Choisy) Heimerl var. dichotoma (Phil.) Heimerl",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME)",0-3000 m.,Perú,-,-
Mirabilis expansa (Ruiz & Pav.) Standl.,http://catalogoplantas.udec.cl/sites/default/files/4414_1.jpg,Nyctaginaceae,"Calyxhymenia expansa Ruiz & Pav., Allionia expansa (Ruiz & Pav.) Kuntze, Oxybaphus expansa (Ruiz & Pav.) Vahl",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Valparaíso (VAL)",100-3600 m.,Bolivia y Perú,-,-
Mirabilis jalapa L.,-,Nyctaginaceae,"",Hierba perenne,Introducida,"Antofagasta (ANT), Biobío (BIO), Juan Fernández (JFE), Rapa Nui (IPA)",-,-,-,-
Mirabilis ovata (Ruiz & Pav.) F. Meigen,http://catalogoplantas.udec.cl/sites/default/files/4416_1.jpg,Nyctaginaceae,"Oxybaphus campestris Griseb., Allionia ovata (Ruiz & Pav.) Standl., Calyxhymenia ovata Ruiz & Pav., Mirabilis campestris (Griseb.) I.M. Johnst., Oxybaphus ovatus (Ruiz & Pav.) Vahl",Hierba perenne,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO)",0-3200 m.,Argentina y Perú,-,-
Mirabilis prostrata (Ruiz & Pav.) Heimerl,http://catalogoplantas.udec.cl/sites/default/files/4417_1.jpg,Nyctaginaceae,"Oxybaphus micranthus Choisy, Oxybaphus prostratus (Ruiz & Pav.) Vahl, Allionia micrantha (Choisy) Molfino, Calyxhymenia prostrata Ruiz & Pav., Allionia excelsa (Willd.) kuntze, Allionia prostrata (Ruiz & Pav.) Kuntze",Hierba perenne,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU)",0-1400 m.,"Argentina, Bolivia y Perú",-,-
Mirabilis trollii Heimerl,-,Nyctaginaceae,"",Hierba perenne,Endémica,Tarapacá (TAR),2200 m.,-,-,-
Nymphaea alba L.,-,Nymphaeaceae,"",Hierba acuática perenne,Introducida,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA)",-,-,-,-
Fraxinus excelsior L.,-,Oleaceae,"",Árbol,Introducida,Biobío (BIO),-,-,-,-
Ligustrum ovalifolium Hassk.,-,Oleaceae,"",Arbusto o árbol pequeño,Introducida,Juan Fernández (JFE),-,-,Ligustrina,-
Menodora linoides Phil.,http://catalogoplantas.udec.cl/sites/default/files/4422_1.jpg,Oleaceae,"",Arbusto,Endémica,"Coquimbo (COQ), Valparaíso (VAL)",1200-1800 m.,-,Linacillo,-
Camissonia dentata (Cav.) Reiche subsp. dentata,http://catalogoplantas.udec.cl/sites/default/files/4423_1.jpg,Onagraceae,"Oenothera dentata Cav., Oenothera contorta Douglas var. divaricata (Gay) Munz, Chamissonia tenuifolia (Spach) Reiche, Camissonia flava Link, Oenothera chamissonis Link, Holostigma argutum Spach, Holostigma heterophyllum Spach, Sphaerostigma chamissonis (Link) Fisch. & C.A. Mey., Oenothera minutiflora D. Dietr., Sphaerostigma dentatum (Cav.) Gay, Sphaerostigma divaricatum Gay, Sphaerostigma ramosissimum Phil., Chamissonia acuminata (Phil.) Reiche, Chamissonia paradoxa (Spach) Reiche var. divaricata (Gay) Reiche, Oenothera torulosa H. Lév. fma. chilensis (D. Dietr.) H. Lév., Oenothera micrantha Spreng. var. acuminata (Phil.) Munz, Sphaerostigma heterophylla (Spach) Gay",Hierba anual,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Aysén (AIS)",0-3500 m.,Argentina y Perú,-,-
Camissonia dentata (Cav.) Reiche subsp. littoralis P.H. Raven & D.M. Moore,http://catalogoplantas.udec.cl/sites/default/files/4424_1.jpg,Onagraceae,Sphaerostigma acuminatum Phil.,Hierba anual,Endémica,"Maule (MAU), Biobío (BIO)",0-200 m.,-,-,-
Clarkia tenella (Cav.) F.H. Lewis & M.E. Lewis subsp. ambigua (Phil.) D.M. Moore & F.H. Lewis ex Martic.,-,Onagraceae,"Clarkia tenella (Cav.) F.H. Lewis & M.E. Lewis subsp. ambigua (Phil.) D.M. Moore & F.H. Lewis, comb. illeg., Godetia ambigua Phil.",Hierba anual,Endémica,"Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",-,-,-,-
Clarkia tenella (Cav.) F.H. Lewis & M.E. Lewis subsp. araucana D.M. Moore & F.H. Lewis,http://catalogoplantas.udec.cl/sites/default/files/4426_1.jpg,Onagraceae,"",Hierba anual,Endémica,"Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA)",0-300 m.,-,-,-
Clarkia tenella (Cav.) F.H. Lewis & M.E. Lewis subsp. tenella,http://catalogoplantas.udec.cl/sites/default/files/4427_1.jpg,Onagraceae,"Oenothera tenella Cav., Godetia cavanillesii Spach, Godetia tenella (Cav.) Steud., Oenothera auricula H. Lév. var. tenella (Cav.) H. Lév., Godetia dasycarpa Phil., Godetia tenella (Cav.) Steud. var. dasycarpa (Phil.) Munz, Oenothera quadrivulnera Douglas var. dasycarpa (Cav.) Thell. ex Probst, Godetia quadrivulnera (Douglas) Spach var. tenella Jeps., Oenothera prismatica H. Lév. var. dasycarpa H. Lév.",Hierba anual,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",0-3200 m.,Argentina,-,-
Clarkia tenella (Cav.) F.H. Lewis & M.E. Lewis subsp. tenuifolia (Cav.) D.M. Moore & F.H. Lewis,-,Onagraceae,"Oenothera tenuifolia Cav., Godetia tenuifolia (Cav.) Spach, Oenothera tenella Cav. var. tenuifolia (Cav.) Lindl., Godetia gayana Spach, Oenothera gayana (Spach) Steud., Oenothera prismatica H. Lév. var. tenuifolia (Cav.) H. Lév.",Hierba anual,Endémica,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME)",0-200 m.,-,"Inuil, sangre de toro, sangre de buey, huasita",-
Epilobium australe Poepp. & Hausskn. ex Hausskn.,http://catalogoplantas.udec.cl/sites/default/files/4429_1.jpg,Onagraceae,"Epilobium lechleri Phil. & Hausskn. ex Hausskn., Epilobium australe Poepp. & Hausskn. ex Hausskn. var. andinum (Phil.) Sam., Epilobium australe Poepp. & Hausskn. ex Hausskn. var. lechleri (Phil. & Hausskn. ex Hausskn.) Sam., Epilobium australe Poepp. & Hausskn. ex Hausskn. var. interruptum (Sam.) Sam., Epilobium australe Poepp. & Hausskn. ex Hausskn. var. pumilum Sam., Epilobium interruptum Sam., Epilobium deflexum Sam., Epilobium tetragonum L. var. antarcticum Hook.f., Epilobium antarcticum (Hook.f.) Kuntze, Epilobium transandinum Sam.",Hierba perenne,Nativa,"Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-4000 m.,Argentina,-,-
Epilobium barbeyanum H. Lév.,http://catalogoplantas.udec.cl/sites/default/files/4430_1.jpg,Onagraceae,"",Hierba perenne,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Biobío (BIO)",1000-3500 m.,Argentina,-,-
Epilobium brachycarpum C. Presl,-,Onagraceae,"",Hierba anual,Introducida,Ñuble (NUB),-,-,-,-
Epilobium campestre (Jeps.) Hoch & W.L. Wagner,-,Onagraceae,"",Hierba anual,Introducida,Metropolitana (RME),1700-1900 m.,-,-,-
Epilobium ciliatum Raf.,http://catalogoplantas.udec.cl/sites/default/files/4433_1.jpg,Onagraceae,"Epilobium hookerianum Hausskn. ex Skottsb., Epilobium valdivense Hausskn. var. alboffii Macloskie, Epilobium tetragonum auct. non L., Epilobium valdiviense Hausskn., Epilobium magellanicum Phil. & Hausskn. ex Hausskn., Epilobium longipes Sam., Epilobium chilense Hausskn., Epilobium constrictum Sam., Epilobium cunninghami Hausskn., Epilobium pedicellare J. Presl var. latifolium Walp., Epilobium aconcaguinum Phil., Epilobium albiflorum Phil., Epilobium chilense Hausskn. var. latifolium Sam., Epilobium chilense Hausskn. var. macrum Sam., Epilobium leiophyton Sam.",Hierba perenne,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-3200 m.,Argentina,-,-
Epilobium conjugens Skottsb.,http://catalogoplantas.udec.cl/sites/default/files/4434_1.jpg,Onagraceae,"",Hierba perenne,Nativa,"Aysén (AIS), Magallanes (MAG)",0-1000 m.,Argentina,-,-
Epilobium densifolium Hausskn.,http://catalogoplantas.udec.cl/sites/default/files/4435_1.jpg,Onagraceae,"Epilobium nivale Meyen var. lignosum (F. Phil.) Hosseus, Epilobium lignosum F. Phil.",Hierba perenne,Nativa,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Magallanes (MAG)",500-3300 m.,Argentina,-,-
Epilobium denticulatum Ruiz & Pav.,http://catalogoplantas.udec.cl/sites/default/files/4436_1.jpg,Onagraceae,"Epilobium andicolum Hausskn., Epilobium caesium Hausskn.",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Coquimbo (COQ), Biobío (BIO)",1500-4500 m.,"Argentina, Bolivia y Perú",Tuari,-
Epilobium fragile Sam.,http://catalogoplantas.udec.cl/sites/default/files/4437_1.jpg,Onagraceae,"",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT)",3300-4200 m.,Bolivia y Perú,-,-
Epilobium glaucum Phil.,http://catalogoplantas.udec.cl/sites/default/files/4438_1.jpg,Onagraceae,"Epilobium glaucum Phil. var. stenophyllum Macloskie & Dusén, Epilobium patagonicum Rendle, Epilobium nubigenum Phil.",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-3000 m.,Argentina,-,-
Epilobium nivale Meyen,http://catalogoplantas.udec.cl/sites/default/files/4439_1.jpg,Onagraceae,Epilobium andinum Phil.,Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",300-4000 m.,Argentina,-,-
Epilobium obscurum Schreb.,-,Onagraceae,"",Hierba perenne,Introducida,"Metropolitana (RME), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",-,-,-,-
Epilobium puberulum Hook. & Arn.,http://catalogoplantas.udec.cl/sites/default/files/4441_1.jpg,Onagraceae,Epilobium pedunculatum Phil.,Hierba perenne,Nativa,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",0-1000 m.,Argentina,-,-
Epilobium subdentatum (Meyen) Lievens & Hoch,http://catalogoplantas.udec.cl/sites/default/files/4442_1.jpg,Onagraceae,"Boisduvalia subulata (Ruiz & Pav.) Raim., Boisduvalia volckmannii Phil., Oenothera gauroides Kuntze, Boisduvalia tocornalii Gay, Nierembergia subdentata Meyen, Oenothera uniflora Gillies ex Hook. & Arn., nom. nud., Boisduvalia concinna (D. Don) Spach, Oenothera subulata Ruiz & Pav., Oenothera concinna D. Don, Epilobium concinnum (D. Don) Hoch & P.H. Raven",Hierba anual,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",0-1800 m.,Argentina,-,-
Epilobium tetragonum L. subsp. lamyi (F.W. Schultz) Nyman,-,Onagraceae,"",Hierba perenne,Introducida,"Metropolitana (RME), Maule (MAU), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA)",-,-,-,-
Fuchsia lycioides Andrews,http://catalogoplantas.udec.cl/sites/default/files/4444_1.jpg,Onagraceae,Fuchsia rosea Ruiz & Pav.,Arbusto,Endémica,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME)",0-1500 m.,-,"Palo falso, palo de yegua, coralito, palo blanco",-
Fuchsia magellanica Lam.,http://catalogoplantas.udec.cl/sites/default/files/4445_1.jpg,Onagraceae,"Fuchsia magellanica Lam. var. macrostema (Ruiz & Pav.) Munz, Fuchsia araucana F. Phil., Fuchsia coccinea Dryand. var. robustior Hook.f., Fuchsia gracilis Lindl. var. macrostema (Ruiz & Pav.) Lindl., Fuchsia gracilis Lindl., Fuchsia macrostema Ruiz & Pav., Fuchsia coccinea auct. non Dryand., Dorvalla eucharis Comm. ex Lam., Thilcum tinctorium Molina, Fuchsia magellanica Lam. var. typica Munz, nom. illeg., Fuchsia macrostema Ruiz & Pav. var. grandiflora Hook., Fuchsia coccinea Dryand. var. macrostema (Ruiz & Pav.) Hook., Fuchsia magellanica Lam. var. gracilis (Lindl.) L.H. Bailey, Fuchsia conica Lindl., Fuchsia macrostema Ruiz & Pav. var. conica (Lindl.) Sweet, Fuchsia gracilis Lindl. var. multiflora Lindau, Fuchsia discolor Lindl., Fuchsia magellanica Lam. var. discolor (Lindl.) L.H. Bailey, Fuchsia chonotica Phil., Fuchsia coccinea Dryand. var. chonotica (Phil.) Reiche, Fuchsia magellanica Lam. var. molinae Espinosa, Fuchsia magellanica Lam. var. eburnea Pisano, Fuchsia magellanica Lam. var. conica (Lindl.) L.H. Bailey, Fuchsia gracilis Lindl. var. tenella Lindl., Fuchsia macrostema Ruiz & Pav. var. tenella (Lindl.) DC., Fuchsia macrostema Ruiz & Pav. var. gracilis (Lindl.) Sweet",Arbusto,Nativa,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-2000 m.,Argentina,"Chilco, chilca, palo blanco",Introducida en el Archipiélago de Juan Fernández
Gayophytum humile A. Juss.,http://catalogoplantas.udec.cl/sites/default/files/4446_1.jpg,Onagraceae,"Gayophytum densifolium Phil., Gayophytum minutum Phil., Gayophytum humile A. Juss. var. densifolium (Phil.) Reiche, Gayophytum nuttallii Torr. & A. Gray, Gayophytum humile A. Juss. var. robustum (Phil.) Reiche",Hierba anual,Nativa,"Atacama (ATA), Coquimbo (COQ), Metropolitana (RME), O'Higgins (LBO), Maule (MAU)",500-3600 m.,Argentina,Quinchamalí,-
Gayophytum micranthum Hook. & Arn.,http://catalogoplantas.udec.cl/sites/default/files/4447_1.jpg,Onagraceae,"Gayophytum gracile Phil., Gayophytum robustum Phil., Gayophytum humile A. Juss. var. gracile (Phil.) Reiche, Sphaerostigma paradoxum (Spach) Gay, Oenothera gracilis (Phil.) H. Lév.",Hierba anual,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU)",1200-4300 m.,Argentina,-,-
Ludwigia grandiflora (Michx.) Greuter & Burdet subsp. hexapetala (Hook. & Arn.) G.L. Nesom & Kartesz,-,Onagraceae,"Jussiaea hexapetala Hook. & Arn., Ludwigia hexapetala (Hook. & Arn.) Zardini, A.G. Gu & P.H. Raven",Hierba acuática perenne,Nativa,"Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Biobío (BIO)",10-500 m.,Argentina,-,-
Ludwigia octovalvis (Jacq.) P.H. Raven,-,Onagraceae,"",Hierba perenne,Introducida,"Arica y Parinacota (AYP), Tarapacá (TAR)",10-270 m.,-,-,-
Ludwigia peploides (Kunth) P.H. Raven subsp. montevidensis (Spreng.) P.H. Raven,http://catalogoplantas.udec.cl/sites/default/files/4450_1.jpg,Onagraceae,"Jussiaea montevidensis Spreng., Jussiaea repens L. var. montevidensis (Spreng.) Munz, Jussiaea repens L., Ludwigia adscendens (L.) H. Hara var. montevidensis (Spreng.) H. Hara, Jussiaea glandulosa Larrañaga",Hierba acuática perenne,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",0-1000 m.,Argentina y Perú,Pasto de la rana,-
Ludwigia peruviana (L.) H. Hara,-,Onagraceae,"",Hierba acuática perenne,Introducida,"O'Higgins (LBO), Biobío (BIO)",100-360 m.,-,-,-
Oenothera acaulis Cav.,http://catalogoplantas.udec.cl/sites/default/files/4452_1.jpg,Onagraceae,"Lavauxia mutica Spach, Oenothera mutica (Spach) Gay",Hierba perenne,Endémica,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI)",0-1100 m.,-,"Colsilla, hierba de la apostema, rodalán",-
Oenothera affinis Cambess.,http://catalogoplantas.udec.cl/sites/default/files/4453_1.jpg,Onagraceae,"Oenothera berteriana Spach, Oenothera chilensis Fisch. & C.A. Mey., Raimannia berteriana (Spach) Sprague & Riley",Hierba anual,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Juan Fernández (JFE)",0-4000 m.,Argentina y Bolivia,"Flor de San José, metrón, metrún, Don Diego de la noche",Introducida en el Archipiélago de Juan Fernández
Oenothera arequipensis Munz & I.M. Johnst.,-,Onagraceae,"",Hierba anual,Nativa,Antofagasta (ANT),0-2700 m.,Perú,-,-
Oenothera biennis L.,-,Onagraceae,"",Hierba bienal,Introducida,Valparaíso (VAL),-,-,-,-
Oenothera coquimbensis Gay,http://catalogoplantas.udec.cl/sites/default/files/4456_1.jpg,Onagraceae,"Oenothera grandidentata Phil., Oenothera coquimbensis Gay var. grandidentata (Phil.) Reiche",Hierba anual,Endémica,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL)",0-700 m.,-,-,-
Oenothera glazioviana Micheli,-,Onagraceae,"",Hierba bienal,Introducida,"O'Higgins (LBO), Los Lagos (LLA)",-,-,-,-
Oenothera grisea W. Dietr.,http://catalogoplantas.udec.cl/sites/default/files/4458_1.jpg,Onagraceae,"",Hierba anual,Endémica,Valparaíso (VAL),0-100 m.,-,-,-
Oenothera magellanica Phil.,http://catalogoplantas.udec.cl/sites/default/files/4459_1.jpg,Onagraceae,"Oenothera magellanica Phil. var. chubutensis Macloskie, Oenothera polymorpha H. Lév. var. magellanica (Phil.) H. Lév.",Hierba anual o bienal,Nativa,"Aysén (AIS), Magallanes (MAG)",0-3000 m.,Argentina,-,-
Oenothera nana Griseb.,http://catalogoplantas.udec.cl/sites/default/files/4460_1.jpg,Onagraceae,"",Hierba anual o bienal,Nativa,"Tarapacá (TAR), Antofagasta (ANT)",2500-4500 m.,"Argentina, Bolivia y Perú",-,-
Oenothera odorata Jacq.,http://catalogoplantas.udec.cl/sites/default/files/4461_1.jpg,Onagraceae,"Oenothera odorata Jacq. fma. glabrescens Speg., Oenothera odorata Jacq. fma. media Speg., Oenothera odorata Jacq. fma. undulata Speg., Oenothera ibarii Phil., Raimannia odorata (Jacq.) Sprague & Riley, Onagra undulata Moench, Oenothera undulata Aiton, Oenothera odorata Jacq. var. virescens Ser., Oenothera odorata Jacq. var. glaucescens Ser., Oenothera odoratissima Tausch, Oenothera mollissima L. subsp. odorata (Jacq.) Thell.",Hierba anual,Nativa,"Aysén (AIS), Magallanes (MAG)",0-2800 m.,Argentina,-,-
Oenothera peruana W. Dietr.,http://catalogoplantas.udec.cl/sites/default/files/4462_1.jpg,Onagraceae,"",Hierba anual o bienal,Nativa,Tarapacá (TAR),2500-3300 m.,Perú,-,-
Oenothera picensis Phil.,http://catalogoplantas.udec.cl/sites/default/files/4463_1.jpg,Onagraceae,"",Hierba anual,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Biobío (BIO), Juan Fernández (JFE)",0-2000 m.,Argentina,-,Introducida en el Archipiélago de Juan Fernández
Oenothera ravenii W. Dietr. subsp. chilensis W. Dietr.,http://catalogoplantas.udec.cl/sites/default/files/4464_1.jpg,Onagraceae,"",Hierba anual o bienal,Endémica,"Valparaíso (VAL), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",0-300 m.,-,-,-
Oenothera rosea L'Hér. ex Aiton,-,Onagraceae,"",Hierba perenne,Introducida,"Arica y Parinacota (AYP), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Juan Fernández (JFE), Rapa Nui (IPA)",-,-,-,-
Oenothera sandiana Hassk.,http://catalogoplantas.udec.cl/sites/default/files/4466_1.jpg,Onagraceae,Oenothera rubida Rusby,Hierba anual,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR)",2000-4000 m.,Bolivia y Perú,-,-
Oenothera stricta Ledeb. ex Link,http://catalogoplantas.udec.cl/sites/default/files/4467_1.jpg,Onagraceae,"Oenothera propinqua Spach, Oenothera bracteata Phil., Oenothera propinqua Spach var. sparsiflora Phil., Oenothera valdiviana Phil., Oenothera glabrescens Phil., Oenothera brachysepala Spach, Oenothera arguta Greene, Onagra arguta (Greene) Small, Oenothera bracteata Phil. var. glabrescens (Phil.) Reiche, Oenothera mollissima L. var. valdiviana (Phil.) Reiche, Oenothera mollissima L. subsp. propinqua (Spach) Thell., Oenothera stricta Ledeb. ex Link var. propinqua (Spach) Reiche",Hierba anual o bienal,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Rapa Nui (IPA)",10-2150 m.,Argentina,"Don Diego de la noche, flor de San José",Introducida en Rapa Nui (Isla de Pascua)
