nombre,large_img_url,tiny_img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Polystichum chilense (Christ) Diels var. dusenii (C. Chr.) Looser ex R.A. Rodr.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/53.png?itok=xpr6LjdI,Dryopteridaceae,Polystichum multifidum (Mett.) T. Moore var. dusenii C. Chr.,Hierba perenne,Nativa,"Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-800 m.,Argentina,-,-
Polystichum fuentesii Espinosa,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/54.png?itok=6BdYWepA,Dryopteridaceae,"",Hierba perenne,Endémica,Rapa Nui (IPA),-,-,-,Considerado extinto en Rapa Nui (Isla de Pascua) por Jean-Yves Meyer (2013) porque no ha sido observado o recolectado desde hace más de 75 años
Polystichum multifidum (Mett.) T. Moore,http://catalogoplantas.udec.cl/sites/default/files/55_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/55_1.jpg?itok=YTPU88FL,Dryopteridaceae,"Polystichum multifidum (Mett.) T. Moore var. autranii Hicken, Aspidium multifidum Mett., Dryopteris metteniana Kuntze, Dicksonia andina Phil., Polystichum pearcei Phil., Polystichum nahuelhuapiense Diem, Aspidium pearcei (Phil.) F. Phil., Polystichum multifidum (Mett.) T. Moore var. pearcei (Phil.) R.A. Rodr.",Hierba perenne,Nativa,"Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-1000 m.,Argentina,-,-
Polystichum plicatum (Poepp. ex Kunze) Hicken,http://catalogoplantas.udec.cl/sites/default/files/56_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/56_1.jpg?itok=shqFduUG,Dryopteridaceae,"Polystichum elegans J. Remy, Polystichum mohrioides (Bory) C. Presl fma. genuina Hicken, Polystichum mohrioides (Bory) C. Presl fma. latifolia Hicken, Polystichum mohrioides (Bory) C. Presl var. elegans (J. Remy) C. Chr., Polystichum mohrioides (Bory) C. Presl var. plicatum (Poepp.) C. Chr., Aspidium plicatum Poepp. ex Kunze, Aspidium plicatum Poepp. ex Kunze var. laxum Kunze, Aspidium plicatum Poepp. ex Kunze var. rigidum Kunze, Aspidium elegans (J. Remy) J.W. Sturm",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-3500 m.,Argentina,-,-
Polystichum subintegerrimum (Hook. & Arn.) R.A. Rodr.,http://catalogoplantas.udec.cl/sites/default/files/57_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/57_1.jpg?itok=Hhaqjc09,Dryopteridaceae,"Polystichum brongniartianum J. Remy, Polystichum aculeatum (L.) Schott var. brongniartianum (J. Remy) C. Chr., Polystichum aculeatum (L.) Schott var. subintegerrimum (Hook. & Arn.) C. Chr., Aspidium subintegerrimum Hook. & Arn., Aspidium brongniartianum (J. Remy) J.W. Sturm",Hierba perenne,Endémica,"Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-1100 m.,-,-,-
Polystichum tetragonum Fée,http://catalogoplantas.udec.cl/sites/default/files/58_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/58_1.jpg?itok=wSPlareS,Dryopteridaceae,Polystichum vestitum auct. non (G. Forst.) C. Presl,Hierba perenne,Endémica,Juan Fernández (JFE),200 m.,-,-,-
Rumohra adiantiformis (G. Forst.) Ching,http://catalogoplantas.udec.cl/sites/default/files/59_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/59_1.jpg?itok=_dK9mYyo,Dryopteridaceae,"Polypodium adiantiforme G. Forst., Aspidium coriaceum Sw., Polystichum coriaceum Schott, Nephrodium duriusculum C. Presl, Polystichum adiantiforme (G. Forst.) J. Sm.",Hierba perenne,Nativa,"Coquimbo (COQ), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-1000 m.,"Argentina, Bolivia y Perú","Pereq, calahuala, yerba del lagarto",-
Rumohra berteroana (Colla) R.A. Rodr.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/60.png?itok=srtyYX0d,Dryopteridaceae,"Aspidium berterianum Colla, Aspidium flexum Kunze, Polystichum berterianum (Colla) C. Chr., Aspidium capense auct. non Willd.",Hierba perenne,Endémica,Juan Fernández (JFE),200-1200 m.,-,-,-
Equisetum bogotense Kunth,http://catalogoplantas.udec.cl/sites/default/files/61_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/61_1.jpg?itok=oHy7T8Yi,Equisetaceae,"Equisetum flagelliforme Kunze, Equisetum flagelliferum Kunze ex Milde, Equisetum chilense C. Presl ex Milde, Equisetum rinihuense G. Kunkel",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",10-3200 m.,"Argentina, Bolivia y Perú","Limpia plata, yerba, yerba de la plata",-
Equisetum giganteum L.,http://catalogoplantas.udec.cl/sites/default/files/62_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/62_1.jpg?itok=ean4d3ci,Equisetaceae,"Equisetum poeppigianum Mett., Equisetum lechleri Milde, Equisetum tarapacanum Phil., Hippochaete gigantea (L.) Holub, Equisetum xylochaetum Mett.",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR)",20-2800 m.,"Argentina, Bolivia y Perú","Cola de caballo, sojosojo",-
Equisetum pyramidale Goldm.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/63.png?itok=didRvv-Y,Equisetaceae,"Equisetum ramosissimum Desf. var. scaberium Milde, Equisetum philippi Gand., Equisetum scandens J. Remy, Equisetum giganteum L. var. chilense Milde, Equisetum ramosissimum Desf. var. affine Milde, Equisetum araucanum Phil.",Hierba perenne,Endémica,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",10-2600 m.,-,Cola de caballo,-
Sticherus cryptocarpus (Hook.) Ching,http://catalogoplantas.udec.cl/sites/default/files/64_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/64_1.jpg?itok=0LrF0Ny2,Gleicheniaceae,"Dicranopteris cryptocarpa (Hook.) Looser, Gleichenia cryptocarpa Hook., Mertensia cryptocarpa (Hook.) J. Remy, Sticherus cryptocarpus (Hook.) Ching var. looserianus G. Kunkel",Hierba perenne,Nativa,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",20-2200 m.,Argentina,"Hierba loza, cola de gallo, ampe",-
Sticherus lepidotus (R.A. Rodr.) R.A. Rodr. & Ponce,http://catalogoplantas.udec.cl/sites/default/files/65_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/65_1.jpg?itok=BnjronIS,Gleicheniaceae,Gleichenia lepidota R.A Rodr.,Hierba perenne,Endémica,Juan Fernández (JFE),500-1100 m.,-,-,-
Sticherus litoralis (Phil.) Nakai,http://catalogoplantas.udec.cl/sites/default/files/66_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/66_1.jpg?itok=0gGcoZ4Y,Gleicheniaceae,"Mertensia litoralis Phil., Gleichenia litoralis (Phil.) C. Chr., Dicranopteris pedalis (Kaulf.) Looser var. litoralis (Phil.) Looser, Gleichenia pedalis (Kaulf.) Sprengel var. litoralis (Phil.) Looser, Dicranopteris litoralis (Phil.) Looser",Hierba perenne,Endémica,"Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",3-1040 m.,-,-,-
Sticherus quadripartitus (Poir.) Ching,http://catalogoplantas.udec.cl/sites/default/files/67_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/67_1.jpg?itok=5V5YZTFM,Gleicheniaceae,"Polypodium quadripartitum Poir., Gleichenia acutifolia Hook., Mertensia acutifolia (Hook.) J. Remy, Gleichenia bibreae Mett. ex Kuhn, Dicranopteris quadripartita (Poir.) Looser, Gleichenia quadripartita (Poir.) T. Moore, Mertensia magellanica Desv., Mertensia quadripartita (Poir.) Poir., Sticherus quadripartitus (Poir.) Ching fma. bipartitus G. Kunkel, Sticherus quadripartitus (Poir.) Ching fma. simplex G. Kunkel",Hierba perenne,Nativa,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-1800 m.,Argentina,"Yerba loza, palmita, pata de cucho",-
Sticherus squamulosus (Desv.) Nakai var. gunckelianus (Looser) R.A. Rodr. & Ponce,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/68.png?itok=6d9NdDtl,Gleicheniaceae,"Gleichenia squamulosa (Desv.) T. Moore var. gunckeliana (Looser) Duek, Dicranopteris squamulosa (Desv.) Looser var. gunckeliana Looser",Hierba trepadora perenne,Endémica,"Los Ríos (LRI), Los Lagos (LLA)",0-100 m.,-,-,-
Sticherus squamulosus (Desv.) Nakai var. squamulosus,http://catalogoplantas.udec.cl/sites/default/files/69_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/69_1.jpg?itok=N9hJ-zye,Gleicheniaceae,"Gleichenia pedalis (Kaulf.) Spreng., Dicranopteris pedalis (Kaulf.) Looser, Sticherus pedalis (Kaulf.) Ching, Gleichenia squamulosa (Desv.) T. Moore, Mertensia squamulosa Desv., Mertensia pedalis Kaulf., Mertensia oligocarpa Phil., Gleichenia oligocarpa (Phil.) C. Chr., Dicranopteris oligocarpa (Phil.) Looser, Sticherus oligocarpus (Phil.) Nakai, Sticherus squamulosus (Desv.) Nakai var. glaber (T. Moore) Nakai, Dicranopteris squamulosa (Desv.) Looser",Hierba perenne,Endémica,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Juan Fernández (JFE)",3-1500 m.,-,"Yerba loza, palmita, huedahue",-
Hymenoglossum cruentum (Cav.) C. Presl,http://catalogoplantas.udec.cl/sites/default/files/70_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/70_1.jpg?itok=ujaIPedV,Hymenophyllaceae,Hymenophyllum cruentum Cav.,Hierba epífita perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-900 m.,Argentina,"Helecho película, sanguinaria, seda de la luma",-
Hymenophyllum caudatum Bosch,http://catalogoplantas.udec.cl/sites/default/files/71_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/71_1.jpg?itok=bJP6PzVD,Hymenophyllaceae,"Hymenophyllum caudiculatum Mart. var. productum (C. Presl) C. Chr., Hymenophyllum patagonicum Gand., Sphaerocionium productum C. Presl, Mecodium caudiculatum (Mart.) Copel. fma. productum (C. Presl) G. Kunkel, Mecodium caudiculatum (Mart.) Copel. fma. nanum G. Kunkel",Hierba epífita perenne,Nativa,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-1500 m.,Argentina,Pallante chilote,-
Hymenophyllum cuneatum Kunze var. cuneatum,http://catalogoplantas.udec.cl/sites/default/files/72_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/72_1.jpg?itok=LoSFh-R0,Hymenophyllaceae,"Hymenophyllum cumingii C. Presl, Mecodium cuneatum (Kunze) Copel., Hymenophyllum polyanthos auct. non (Sw.) Sw.",Hierba epífita perenne,Endémica,"Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",400-1000 m.,-,-,-
Hymenophyllum cuneatum Kunze var. rariforme C. Chr. & Skottsb.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/73.png?itok=cADytAkm,Hymenophyllaceae,"Hymenophyllum terminale Phil., Hymenophyllum cuneatum Kunze fma. imbricata C. Chr. & Skottsb., Mecodium cuneatum (Kunze) Copel. var. rariforme (C. Chr. & Skottsb.) G. Kunkel",Hierba epífita perenne,Endémica,Juan Fernández (JFE),300-500 m.,-,-,-
Hymenophyllum darwinii Hook.f. ex Bosch,http://catalogoplantas.udec.cl/sites/default/files/74_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/74_1.jpg?itok=kNtHUb-p,Hymenophyllaceae,"Hymenophyllum abruptum Hook. var. brevifrons (Kunze) Franch., Hymenophyllum skottsbergii C. Chr., Hymenophyllum rarum R. Br. var. darwinii (Bosch) Neger",Hierba epífita o saxícola perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-1200 m.,Argentina,-,-
Hymenophyllum dentatum Cav.,http://catalogoplantas.udec.cl/sites/default/files/75_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/75_1.jpg?itok=KIiJyGd7,Hymenophyllaceae,"Hymenophyllum bridgesii Hook., Hymenophyllum trichocaulum Phil., Sphaerocionium bridgesii (Hook.) Klotzsch, Leptocionium dentatum (Cav.) Bosch, Meringium dentatum (Cav.) Copel.",Hierba epífita perenne,Nativa,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",0-1600 m.,Argentina,Shushu-lahuén,-
Hymenophyllum dicranotrichum (C. Presl) Hook. ex Sadeb.,http://catalogoplantas.udec.cl/sites/default/files/76_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/76_1.jpg?itok=I-5wZ0gC,Hymenophyllaceae,"Hymenophyllum chiloense Hook., Leptocionium dicranotrichum C. Presl, Trichomanes spinulosum Phil.",Hierba perenne,Endémica,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",0-600 m.,-,-,-
Hymenophyllum falklandicum Baker,http://catalogoplantas.udec.cl/sites/default/files/77_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/77_1.jpg?itok=wAFu_YvD,Hymenophyllaceae,"Hymenophyllum falklandicum Baker var. elongatum Diem & J.S. Licht., Hymenophyllum glebarium H. Christ ex C. Chr., Hymenophyllum caespitosum auct. non Gaudich., Hymenophyllum falklandicum Baker var. falklandicum fma. andinum Diem & J.S. Licht.",Hierba epífita perenne,Nativa,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-1700 m.,Argentina,-,-
Hymenophyllum ferrugineum Colla,http://catalogoplantas.udec.cl/sites/default/files/78_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/78_1.jpg?itok=bSF-Q7HD,Hymenophyllaceae,"Sphaerocionium ferrugineum (Colla) Copel. pro parte, Hymenophyllum ferrugineum Colla var. donatii Looser, Hymenophyllum subtilissimum Kunze",Hierba epífita o terrestre perenne,Nativa,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-1400 m.,Argentina,-,-
Hymenophyllum fuciforme Sw.,http://catalogoplantas.udec.cl/sites/default/files/79_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/79_1.jpg?itok=-sQHlrMz,Hymenophyllaceae,"Hymenophyllum semiteres Colla, Leptocionium fuciforme (Sw.) C. Presl, Mecodium fuciforme (Sw.) Copel.",Hierba epífita o terrestre perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-1200 m.,Argentina,-,-
Hymenophyllum krauseanum Phil.,http://catalogoplantas.udec.cl/sites/default/files/80_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/80_1.jpg?itok=xb2GYANv,Hymenophyllaceae,"Hymenophyllum magellanicum Willd. ex Kunze var. krauseanum (Phil.) C. Chr., Hymenophyllum dichotomum Cav. var. krauseanum (Phil.) C. Chr., Hymenophyllum plicatum Kaulf. var. krauseanum (Phil.) Looser, Meringium krauseanum (Phil.) G. Kunkel",Hierba epífita o saxícola perenne,Nativa,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-1300 m.,Argentina,-,-
Hymenophyllum nahuelhuapiense Diem & J.S. Licht.,http://catalogoplantas.udec.cl/sites/default/files/81_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/81_1.jpg?itok=eAIuXGkX,Hymenophyllaceae,"",Hierba terrestre o saxícola perenne,Nativa,"Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",200-800 m.,Argentina,-,-
Hymenophyllum pectinatum Cav.,http://catalogoplantas.udec.cl/sites/default/files/82_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/82_1.jpg?itok=Xtpjs4mn,Hymenophyllaceae,"",Hierba epífita o terrestre perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-3600 m.,Argentina,-,-
Hymenophyllum peltatum (Poir.) Desv.,http://catalogoplantas.udec.cl/sites/default/files/83_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/83_1.jpg?itok=DpkX45d8,Hymenophyllaceae,"Trichomanes peltatum Poir., Hymenophyllum menziesii C. Presl, Hymenophyllum meyeri C. Presl, Hymenophyllum megachilum C. Presl, Hymenophyllum peltatum (Poir.) Desv. var. elongatum Diem & J.S. Licht., Hymenophyllum mettenii Bosch, Hymenophyllum peltatum (Poir.) Desv. var. minor Diem & J.S. Licht., Hymenophyllum peltatum (Poir.) Desv. var. patagonicum Diem & J.S. Licht., Hymenophyllum unilaterale Bory, Hymenophyllum tunbrigense (L.) Sm. var. wilsoni (Hook.) Sadeb., Hymenophyllum wilsonii Hook.",Hierba epífita o saxícola perenne,Nativa,"Coquimbo (COQ), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-1400 m.,"Argentina, Bolivia y Perú",-,-
Hymenophyllum plicatum Kaulf.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/84.png?itok=a-JMzkfP,Hymenophyllaceae,"Ptychophyllum plicatum (Kaulf.) C. Presl, Hymenophyllum quadrifidum Phil., Hymenophyllum plicatum Kaulf. var. quadrifidum (Phil.) Looser, Meringium plicatum (Kaulf.) Copel., Hymenophyllum dichotomum auct. non Cav., Hymenophyllum nigricans Colla",Hierba epífita o terrestre perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-800 m.,Argentina,-,-
Hymenophyllum rugosum C. Chr. & Skottsb.,http://catalogoplantas.udec.cl/sites/default/files/85_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/85_1.jpg?itok=mKgSDzvO,Hymenophyllaceae,"Hymenophyllum rugosum C. Chr. & Skottsb. fma. lanceolatum C. Chr. & Skottsb., Hymenophyllum tunbrigense auct. non (L.) Sm.",Hierba epífita o terrestre perenne,Endémica,Juan Fernández (JFE),400-700 m.,-,-,-
Hymenophyllum secundum Hook. & Grev.,http://catalogoplantas.udec.cl/sites/default/files/86_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/86_1.jpg?itok=J-ds4PgE,Hymenophyllaceae,"Hymenophyllum serra C. Presl, Meringium secundum (Hook. & Grev.) Copel.",Hierba epífita o terrestre perenne,Nativa,"Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-1200 m.,Argentina,-,-
Hymenophyllum seselifolium C. Presl,http://catalogoplantas.udec.cl/sites/default/files/87_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/87_1.jpg?itok=lcsfIHaG,Hymenophyllaceae,"Didymoglossum magellanicum Desv., Hymenophyllum attenuatum Hook., Ptychophyllum magellanicum Klotzsch, Hymenophyllum bibraianum J.W. Sturm, Leptocionium attenuatum (Hook.) Bosch, Leptocionium magellanicum (Desv.) Bosch, Leptocionium seselifolium (C. Presl) Bosch, Meringium magellanicum (Desv.) Copel., Hymenophyllum magellanicum (Desv.) Willd. ex Kunze",Hierba epífita o terrestre perenne,Nativa,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-1800 m.,Argentina,-,-
Hymenophyllum tortuosum Hook. & Grev.,http://catalogoplantas.udec.cl/sites/default/files/88_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/88_1.jpg?itok=l_JHEsZX,Hymenophyllaceae,"Myrmecostylum tortuosum (Hook. & Grev.) C. Presl, Leptocionium tortuosum (Hook. & Grev.) Bosch, Trichomanes beckeri E.H.L. Krause ex Phil., Hymenophyllum tortuosum Hook. & Grev. var. beckeri (E.H.L. Krause ex Phil.) Espinosa, Hymenophyllum tortuosum Hook. & Grev. var. bustillosii Espinosa, Meringium tortuosum (Hook. & Grev.) Copel., Hymenophyllum tortuosum Hook. & Grev. var. glomeratum Diem & J.S. Licht.",Hierba epífita o terrestre perenne,Nativa,"Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-1500 m.,Argentina,-,-
Hymenophyllum tunbrigense (L.) Sm.,http://catalogoplantas.udec.cl/sites/default/files/89_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/89_1.jpg?itok=eWa3d60P,Hymenophyllaceae,"Trichomanes tunbrigense L., Hymenophyllum antarcticum C. Presl, Hymenophyllum tunbrigense (L.) Sm. var. asperulum (Kunze) Diem & J.S. Licht.",Hierba epífita o terrestre perenne,Nativa,"O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",0-500 m.,Argentina,-,-
