nombre,large_img_url,tiny_img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Papaver dubium L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4569.png?itok=-bNPF_KN,Papaveraceae,"",Hierba anual,Introducida,Magallanes (MAG),-,-,-,-
Papaver hybridum L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4570.png?itok=xag1kha3,Papaveraceae,"",Hierba anual,Introducida,"Valparaíso (VAL), Metropolitana (RME)",-,-,-,-
Papaver rhoeas L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4571.png?itok=5tdR7aTK,Papaveraceae,"",Hierba anual,Introducida,"Metropolitana (RME), O'Higgins (LBO), Los Lagos (LLA)",-,-,-,-
Papaver somniferum L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4572.png?itok=uKWG_g0A,Papaveraceae,"",Hierba anual,Introducida,"Antofagasta (ANT), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Biobío (BIO), Los Ríos (LRI), Magallanes (MAG), Juan Fernández (JFE)",-,-,-,-
Malesherbia auristipulata Ricardi,http://catalogoplantas.udec.cl/sites/default/files/4573_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4573_1.jpg?itok=iZ7TO1cj,Passifloraceae,"",Subarbusto,Endémica,"Arica y Parinacota (AYP), Tarapacá (TAR)",1800-2100 m.,-,-,-
Malesherbia campanulata Ricardi,http://catalogoplantas.udec.cl/sites/default/files/4574_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4574_1.jpg?itok=VAWb94CZ,Passifloraceae,"",Hierba perenne,Endémica,Coquimbo (COQ),3300-4000 m.,-,-,-
Malesherbia corallina Muñoz-Schick & R. Pinto,http://catalogoplantas.udec.cl/sites/default/files/4575_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4575_1.jpg?itok=cts5OAGg,Passifloraceae,"",Subarbusto,Endémica,Tarapacá (TAR),2700-2800 m.,-,-,-
Malesherbia densiflora Phil.,http://catalogoplantas.udec.cl/sites/default/files/4576_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4576_1.jpg?itok=ZhrRiIQG,Passifloraceae,"",Hierba perenne,Endémica,Atacama (ATA),2500-3100 m.,-,-,-
Malesherbia deserticola Phil.,http://catalogoplantas.udec.cl/sites/default/files/4577_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4577_1.jpg?itok=nF_DMsoB,Passifloraceae,Malesherbia borchersi Phil.,Subarbusto,Endémica,"Antofagasta (ANT), Atacama (ATA)",3400-3500 m.,-,-,-
Malesherbia fasciculata D. Don var. fasciculata,http://catalogoplantas.udec.cl/sites/default/files/4578_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4578_1.jpg?itok=A7dmrgv9,Passifloraceae,"Malesherbia thyrsoidea Bertero ex Steud., Gynopleura fascicula (D. Don) Roem.",Subarbusto,Endémica,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO)",400-1000 m.,-,-,-
Malesherbia fasciculata D. Don var. glandulosa Ricardi,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4579.png?itok=rNQDKFZk,Passifloraceae,"",Subarbusto,Endémica,Coquimbo (COQ),1000-1400 m.,-,-,-
Malesherbia humilis Poepp. var. gabrielae (Ricardi) Gengler,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4580.png?itok=pVuPth_s,Passifloraceae,Malesherbia gabrielae Ricardi,Hierba anual,Endémica,Coquimbo (COQ),700-2600 m.,-,-,-
Malesherbia humilis Poepp. var. humilis,http://catalogoplantas.udec.cl/sites/default/files/4581_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4581_1.jpg?itok=Ly9P_ZjI,Passifloraceae,"Gynopleura humilis (D. Don) Roem., Gynopleura dilatata Walp., Malesherbia dilatata (Walp.) F. Phil.",Hierba anual,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Maule (MAU)",0-1800 m.,Argentina,"Piojito, piojillo",-
Malesherbia humilis Poepp. var. parviflora (Phil.) Ricardi,http://catalogoplantas.udec.cl/sites/default/files/4582_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4582_1.jpg?itok=Y2nxd4yS,Passifloraceae,"Malesherbia multiflora Ricardi, Malesherbia parviflora Phil.",Hierba anual,Endémica,"Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",0-2900 m.,-,-,-
Malesherbia humilis Poepp. var. propinqua (Gay) Ricardi,http://catalogoplantas.udec.cl/sites/default/files/4583_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4583_1.jpg?itok=O2faFYxL,Passifloraceae,"Malesherbia propinqua Gay, Malesherbia humilis D. Don var. propinqua (Gay) Reiche",Hierba anual,Endémica,Coquimbo (COQ),600-2000 m.,-,-,-
Malesherbia humilis Poepp. var. taltalina (Ricardi) Gengler,http://catalogoplantas.udec.cl/sites/default/files/4584_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4584_1.jpg?itok=X4I_c_1L,Passifloraceae,Malesherbia taltalina Ricardi,Hierba anual,Endémica,Antofagasta (ANT),0-200 m.,-,-,-
